"",""
"Action","Action"
"Add Price Request","Add Price Request"
"An error occurred while updating the price requests.","An error occurred while updating the price requests."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Comment","Comment"
"Could not find price request to delete.","Could not find price request to delete."
"Created at","Created at"
"Delete Price Request","Delete Price Request"
"Delete","Delete"
"Disabled","Disabled"
"Edit Price Request '%s'","Edit Price Request '%s'"
"Edit","Edit"
"Email","Email"
"Enabled","Enabled"
"Error saving price request","Error saving price request"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select price requests to delete.","Please select price requests to delete."
"Please select price requests.","Please select price requests."
"Price Request was saved","Price Request was saved"
"Price Request was successfully deleted.","Price Request was successfully deleted."
"Price Request was successfully saved","Price Request was successfully saved"
"Price Request","Price Request"
"Price Requests","Price Requests"
"Product SKU","Product SKU"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Price Request","Save Price Request"
"Status","Status"
"Store views","Store views"
"The price requests has been deleted.","The price requests has been deleted."
"There was a problem saving the price request.","There was a problem saving the price request."
"There was an error deleting price request.","There was an error deleting price request."
"There was an error deleting price requests.","There was an error deleting price requests."
"There was an error updating price requests.","There was an error updating price requests."
"This price request no longer exists.","This price request no longer exists."
"Total of %d price requests were successfully deleted.","Total of %d price requests were successfully deleted."
"Total of %d price requests were successfully updated.","Total of %d price requests were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find price request to save.","Unable to find price request to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"